sentence1	sentence2	score
Two of the Britons, Sandy Mitchell from Glasgow and Glasgow-born William Sampson, face the death penalty.	Sandy Mitchell, 44, from Kirkintilloch, Glasgow, and William Sampson, a British citizen born in Glasgow, face beheading in public.	3.25
He urged patience from Americans eager for the service, which is intended to block about 80 percent of telemarketing calls.	The free service was originally intended to block about 80 percent of telemarketer calls.	3
Jordan Green, the prelate's private lawyer, said he had no comment.	O'Brien's attorney, Jordan Green, declined to comment.	3.6
"Mr Hadley, who has a new partner and child, said: ""I am absolutely delighted."	"In a statement issued by his solicitors, Mr Hadley said: ""I am absolutely delighted with the outcome of proceedings."	3.4
The losses occurred overnight in Willow Canyon, one of three areas in the Santa Catalina Mountains threatened by the 2-week-old fire that already had blackened 70,000 acres.	The losses occurred overnight in Willow Canyon, one of three areas in the Santa Catalina Mountains threatened by the resurgent Aspen fire.	3.25
Its shares fell 71 cents, or 3.5 percent, in after-hours trading to $19.55.	The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.	1.25
Hundreds of reporters and photographers swamped the courthouse grounds before the hearing, which was carried live on national cable networks.	Hundreds of reporters and photographers swamped the town and the short hearing involving the five-time All-Star was carried live on national cable networks.	3
AMD's chip sales jumped 7 percent year-on-year to $402 million.	Second-quarter sales grew 7 percent, to $645 million from $600 million in 2002.	2.2
Shelia Chaney Wilson seemed agitated when she came to help prepare for Turner Monumental A.M.E. Church's upcoming 104th anniversary celebration, worshippers said.	Congregants of Turner Monumental AME Church said Shelia Chaney Wilson, 43, was agitated when she came to the church, in the Kirkwood neighborhood on the city's east side.	3.6
He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.	He was the ace of diamonds in a U.S. deck of cards showing pictures of most-wanted Iraqi leaders.	4
Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote, while the independent Dragan Hajdukovic got 4 percent.	A pro-independence radical, Miodrag Zivkovic, of the Liberal Alliance, came in second with 31 percent of the vote.	3
So far, Georgia has been returned all but $70,000 of the money it wired.	Georgia has received all but $70,000 of its money back with the help of the FBI.	3.75
The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.	5
Cubs outfielder Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat.	Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat, and he immediately appealed the decision.	3.2
Half of the women were given a daily dose of the drug and half took a placebo.	Half the women received a daily tablet of the combination oestrogen plus progestin while the rest were given a placebo.	3.2
When police removed the four from the home, they weighed 136 pounds combined.	Each boy weighed less than 50 pounds when they were removed from the home Oct. 10.	3
While the Ibrahims had one separation operation, Goodrich and Dr. David Staffenberg plan about three for the Aguirres, with several weeks between each.	Instead of one long operation to separate the twins, Goodrich and Dr. David Staffenberg plan about three, with several weeks between each.	3.6
The company has expanded into providing other services for buyers, including payment services.	The company has expanded those basic services, offering payment and even financing.	4.2
The blasts killed two people and injured more than 150 others.	The Atlanta Olympic Games attack killed one woman and injured more than 100 other people.	1.8
In 2001, President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors.	In 2001, President Bush named her to the Student Loan Marketing Association, the largest U.S. lender for students.	3.231
The Boston Archdiocese has faced waves of scandal that have not only angered victims' advocates but parishioners and some priests.	The waves of scandal angered not only victims' advocates but parishioners and some priests, to the point that Law could no longer run the archdiocese.	3
A federal magistrate in Fort Lauderdale ordered him held without bail.	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.	3
The department's position threatens to alienate social conservatives, who have provided strong political support for Mr. Ashcroft and President Bush.	The department's stance disappointed some abortion opponents, and it threatens to alienate social conservatives who have provided strong political support for Ashcroft and President Bush.	3.75
South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.	With 4.7 million people infected with HIV or AIDS, South Africa has the world's highest AIDS caseload.	5
In that position, Elias will report to Joe Tucci, president and CEO of EMC.	As executive vice president of new ventures, Elias will report to Joe Tucci, EMC's president and chief executive.	3.4
The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakairima who is now promoted to major general.	PRESIDENT Yoweri Museveni has promoted Brigadier Aronda Nyakairima to Major General and named him Army Commander.	3.2
Mailblocks was founded five years after WebTV was acquired by Microsoft for $425 million.	WebTV was sold to Microsoft in 1997 for $425 million and today is called MSN TV.	2.8
The Metropolitan Transportation Authority was given two weeks to restore the $1.50 fare and the old commuter railroad rates, York declared.	The Metropolitan Transportation Authority, which plans to appeal, was given until May 28 to restore the old subway and bus fare and the old commuter railroad rates.	2.8
Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.	Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites).	4.6
The state wants to kill the wolves in approximately a 1,700-square-mile area near the village of McGrath.	The state wants to kill the wolves in approximately a 1,700-square-mile area near McGrath to establish a moose nursery of sorts.	3.2
Peterson told police he fished alone in San Francisco Bay on Christmas Eve, returning to an empty house.	Peterson told police he left his wife at about 9:30 a.m. on Dec. 24 to fish alone in San Francisco Bay.	3
The Fed's Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.	Prices had pulled back from offshore highs when the Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.	3.8
"Det Chief Insp Norman McKinlay said there was ""evidence a body or bodies have been in this area""."	"Detective Chief Inspector Norman McKinlay, leading the investigation, said: ""There is evidence a body or bodies have been in this area."	4.5
Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday, as did Mills.	Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.	3
General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla.	Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla.	4.727
Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth.	Tampa Bay manager Lou Piniella, bench coach John McLaren and Huff all were ejected in the middle of the ninth.	3.8
The venture owns five oil refineries and more than 2,100 filling stations in Russia and Ukraine.	TNK-BP has six oil producing units, five refineries and 2,100 filling stations.	3
Other changes in the plan refine his original vision, Libeskind said.	Many of the changes are improvements to the original plan, Libeskind said.	4.6
Rep. Peter Deutsch, D-Fla., criticized the FDA's efforts in Florida.	Peter Deutsch, D-Fla., said he wanted to congratulate the FDA.	2
There are now 37 active probable cases in the GTA, compared with 70 cases on June 6.	And, globally, the number of active probable cases has declined to 573.	1.5
SARS has killed 296 people on China's mainland and infected more than 5,200.	Throughout China's mainland, the disease has killed 300 people and infected more than 5,270.	3.2
The redesigned Finder also features search, coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac, Windows and UNIX file servers.	It also supports coloured labels to better organise documents, and dynamic browsing of the network for Mac, Windows and Unix file servers.	3
The lawyer representing Torch Concepts, Rich Marsden did not respond to repeated phone calls.	Officials with Torch and JetBlue did not respond to repeated phone calls from the Mercury News seeking comment.	2.75
He was voluntarily castrated in 2001, an operation he contends removed his ability to become sexually aroused.	DeVries, who was voluntarily castrated in August 2001, has said the surgery took away his ability to become sexually aroused.	4.5
The S&P/TSX composite rose 87.74 points on the week, while the TSX Venture Exchange composite gained 44.49 points.	On the week, the Dow Jones industrial average rose 11.56 points, while the Nasdaq Stock Market gained 39.42 points.	1
In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreement to distribute Sun's Java Virtual Machine for running Java applications.	Nuremberg, Germany-based SuSE will license Sun's Java 2 Standard Edition (J2SE) and ship Sun's Java Virtual Machine across its Linux software line.	3.75
Long lines formed outside gas stations and people rushed to get money from cash machines Sunday as Israelis prepared to weather a strike that threatened to paralyze the country.	Long lines formed Sunday outside gas stations and people rushed to get money from cash machines as Israelis braced for the strike's effects.	4.5
The tech-heavy Nasdaq composite index fell 3.99, or 0.2 percent, to 1,682.72, following a two-day win of 55.93.	The technology-laced Nasdaq Composite Index .IXIC eased 8.52 points, or 0.51 percent, to 1,670.21.	1.5
Ross Garber, Rowland's lawyer, said Tuesday he would attend the meeting and would ask to speak on the issue.	Ross Garber, Rowland's legal counsel, said the governor would have no comment on the condo deal.	2
Previously he had seen the grinning mechanic from east Java only on television.	Mr Hughes had seen Amrozi's face on television, the infamous images of the grinning mechanic from east Java.	3.4
Two years later, the insurance coverage would begin.	Under the agreement, Medicare coverage for drug benefits would begin in 2006.	2.8
NASA satellite images show that Arctic ice has been shrinking at the rate of nearly 10 percent a decade.	Researchers found that sea ice in the Arctic is disappearing at a rate of 9 percent each decade.	3.2
Some women are also concerned that so many women are turning to cosmetic surgery in a quest for bodily perfection.	Some women also express concern about a society in which more people than ever are turning to cosmetic surgery in a quest for bodily perfection.	4.75
The notification was first reported Friday by MSNBC.	MSNBC.com first reported the CIA request on Friday.	3
There is, however, no photo of Peter Hollingworth in the June issue examined by the Herald yesterday.	There is, however, no photograph of Dr Hollingworth in the June issue of the magazine examined by The Age yesterday.	3
British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.	Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames.	3.5
By late afternoon, the Dow Jones industrial average was up 12.81, or 0.1 percent, at 9,331.77, having gained 201 points Monday to its highest level since July 2002.	In morning trading, the Dow Jones industrial average was down 8.76, or 0.1 percent, at 9,310.20, having gained 201 points Monday.	1.25
Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities.	Gagne struck out two in a perfect ninth inning for his 23rd save.	3.25
Shares closed on NASDAQ just below their 52-week high, at $32.17, up $1.54.	Trading of EchoStar's stock closed Tuesday at a 52-week high of $32.17, up $1.54.	3.25
Janice Kelly said her husband had received assurances from senior MoD officials that his name would not be made public.	She told the inquiry that her husband had received assurances from his line manager and senior ministry officials that when he came forward his name would not be made public.	3.75
If convicted, they face up to five years in prison and a $250,000 fine on each of the 11 counts.	If convicted, each faces up to five years in prison and a fine of $250,000 or more based on the amount of gains involved.	3.25
U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America.	U.S. stocks rose slightly on feather-light volume on Friday, as Wall Street regrouped after the biggest-ever power outage in North America.	3.6
Evacuation went smoothly, although passengers weren't told what was going on, Hunt said.	Passengers were evacuated smoothly, although they were not told what was going on, he said.	4.4
Between 1993 and 2002, 142 allegations of sexual assault were reported.	From 1993 to 2002, there were 142 reported sexual assaults at the academy.	3.6
"Smith said simply ""Oh, my God,"" in the seconds afterward, according to Weinshall."	"In the seconds after the crash, she added, Captain Smith said simply, ""Oh my God."""	3.75
Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo.	Lee Boyd Malvo will be called as a witness Wednesday in a pretrial hearing for fellow sniper suspect John Allen Muhammad.	2.5
Tisha Kresler, a spokeswoman for Global Crossing, declined to comment.	A Global Crossing representative had no immediate comment.	3.6
The unions also staged a five-day strike in March that forced all but one of Yale's dining halls to close.	The unions also staged a five-day strike in March; strikes have preceded eight of the last 10 contracts.	2.6
Gov. Rick Perry has said that while he opposes gambling expansion, he would be reluctant to veto continuation of the Lottery Commission.	"Gov. Rick Perry opposes expansion of gambling but has said he would be ""hard-pressed"" to veto the lottery sunset bill."	3.8
In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percent, to 1,790.47.	The Nasdaq Composite Index .IXIC dipped 8.59 points, or 0.48 percent, to 1,773.54.	1.6
In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.	Kentucky: Republican Ernie Fletcher, a three-term House member, is battling Democratic state Attorney General Ben Chandler.	3.8
The Dow Jones Industrial Average fell 98.32, or about 1.1 percent, to 9011.53.	The Dow Jones industrial average finished the day down 98.32 points at 9,011.53.	3.4
Enron's 401(k) plan covered about 20,000 workers, retirees and beneficiaries.	Enron's stock comprised as much as 61% of the workers' 401(k) portfolios.	2.5
The US Senate judiciary committee overcame a significant hurdle yesterday in the battle to create a trust fund to pay victims of asbestos exposure.	The Senate judiciary committee on Tuesday overcame a significant hurdle in the battle to create a trust fund to pay victims of asbestos exposure but the most difficult obstacles remain.	3.75
But she didn't say whether she'll certify the two-year $117.4 billion budget for 2004-05.	She said she didn't know yet whether she would certify the budget.	3.167
It would be difficult to overestimate the potential dangers of the Remote Procedure Call (RPC) vulnerability.	The flaw involves the Remote Procedure Call (RPC) protocol, which deals with inter-computer communications.	2.5
Although obesity can increase the risk of health problems, skeptics argue, so do smoking and high cholesterol.	Although obesity can increase the risk of a host of health problems, skeptics argue, so do smoking and high cholesterol, which are not considered diseases.	4.25
Michelle Wie chips Sunday during her 1-up victory over Virada Nirapathpongporn in the 27th U.S. Women's Amateur Public Links Championship.	Now she has her first trophy after victory in the US Women's Amateur Public Links here on Sunday.	2.75
Sony said the PSP would also feature a 4.5-inch LCD screen, Memory Stick expansion slots.	It also features a 4.5 in back-lit LCD screen and memory expansion facilities.	2.75
At one of the three sampling sites at Huntington Beach, the bacteria reading came back at 160 on June 16 and at 120 on June 23.	The readings came back at 160 on June 16 and 120 at June 23 at one of three sampling sites at Huntington Beach.	3.25
The Ministry of Defence is facing a 20m compensation claim from hundreds of Kenyan women who claim they were raped by British soldiers.	Hundreds of Kenyan women claiming they were attacked and raped by British soldiers were granted government legal aid Wednesday to pursue their case against the Ministry of Defense.	3
Shares of USA Interactive rose $2.28, or 7 percent, to $34.96 on Friday in Nasdaq Stock Market composite trading and have gained 53 percent this year.	Shares of LendingTree rose $6.03, or 41 percent, to close at $20.72 on the Nasdaq stock market yesterday.	1
Similar bills passed the House twice but died in the Senate.	Two years ago, the House passed a similar version that floundered in the Senate.	2.75
The show's closure affected third-quarter earnings per share by a penny.	The company said this impacted earnings by a penny a share.	3.25
The woman was hospitalized June 15, Kansas health officials said.	Missouri health officials said he had not been hospitalized and is recovering.	1
Blue chips edged lower by midday on Wednesday as a wave of profit warnings drained some of the optimism that has driven a rally over the past three months.	U.S. stocks fell in early morning trade on Wednesday as a wave of profit warnings drained some of the optimism that has driven a rally over the past three months.	3.6
The technology-laced Nasdaq Composite Index <.IXIC> tacked on 5.91 points, or 0.29 percent, to 2,053.27.	The technology-focused Nasdaq Composite Index <.IXIC> advanced 6 points, or 0.30 percent, to 2,053, erasing earlier losses.	3.2
Two Kuwaitis and six Palestinians with Jordanian passports were among the suspects, the official said.	They include two Kuwaitis and six Palestinians with Jordanian passports, and the remainder are Iraqis and Saudis, the official said.	3
Her birthday, 21 April, was declared a public holiday and she attended a reception and a ball.	When his grandmother, then-Princess Elizabeth, turned 21 in 1947, the day was declared a public holiday, and she attended a reception and a ball.	3.2
Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.	Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.	4.6
The man, who entered the post office in Lakeside shortly before 3 p.m., gave up to deputies about 6:30 p.m.	The man had entered the post office on Woodside Avenue at Maine Avenue shortly before 3 p.m.	2.8
The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.	A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.	4.4
Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.	Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.	4.2
The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.	The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.	5
The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.	In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion.	5
Counties with population declines will be Vermillion, Posey and Madison.	Vermillion, Posey and Madison County populations will decline.	5
Swartz, indicted in February, had argued that New Hampshire was the wrong place to charge him.	Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.	3.4
They were at Raffles Hospital over the weekend for further evaluation.	They underwent more tests over the weekend, and are now warded at Raffles Hospital.	3.2
When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo.	At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.	5
Plofsky said the commission won't investigate because the three-year statute of limitations has expired.	The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.	4.4
If convicted of the spying charges, he could face the death penalty.	The charges of espionage and aiding the enemy can carry the death penalty.	3.6
Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.	"It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them."""	3.2
But church members and observers say they expect that the decision could be problematic for many Episcopalians.	But church members and observers say they anticipate that the decision here could pose doctrinal problems for some Episcopalians who believe the Bible prohibits homosexuality.	3.8
Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover.	Steve Squyres, a Cornell University scientist, is principal investigator for the missions' science instruments.	4.2
The military said it had killed 12 rebels and captured nine in the campaign so far, for the loss of six soldiers wounded.	The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.	3
Express Scripts ESRX.O shares fell 3.6 percent to close at $66.89 on the Nasdaq.	Shares of Express Scripts ESRX.O fell about 4 percent to $66.73 on the Nasdaq in late morning trade.	3
Police launched an international hunt for Shevaun Pennington after she ran away with 31-year-old Toby Studabaker Saturday.	Shevaun Pennington disappeared on Saturday morning after arranging to meet 31-year-old Toby Studabaker.	3
Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.	While federal prosecutors refuse to discuss the investigation, lawyers and others familiar with it say it remains focused on Campbell.	4.8
The Dow Jones industrial average .DJI was off 58.69 points, or 0.64 percent, at 9,137.86.	The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.	2.5
Peace Rules defeated Funny Cide in the Louisiana Derby.	But neither he nor Peace Rules could keep Funny Cide from drawing away.	2.25
Boeing said the final agreement is expected to be signed during the next few weeks.	"The Korean Air deal is expected to be finalized ""in the next several weeks,"" Boeing spokesman Bob Saling said."	3
Shares in EDS closed on Thursday at $18.51, a gain of 6 cents.	Shares of EDS closed Thursday at $18.51, up 6 cents on the New York Stock Exchange.	3.667
A divided Supreme Court ruled Monday that Congress can force the nation's public libraries to equip computers with anti-pornography filters.	The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.	3.6
The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application.	The vulnerability exists in the way Microsoft's Visual Basic for Applications checks document properties passed to it when a document is opened.	3.8
Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.	Of the 24 million phone votes cast, Studdard was only 130,000 votes ahead of Aiken.	3.4
Consumers still would have to get a descrambling security card from their cable operator to plug into the set.	To watch pay television, consumers would insert into the set a security card provided by their cable service.	3.4
"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made""."	"However, we have decided to opt for the European consortium's engine as the best overall solution."""	3.8
The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.	The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.	2.8
Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.	House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.	3.75
The Dodgers won their sixth consecutive game their longest win streak since 2001 as they edged Colorado, 3-2, Wednesday in front of a crowd of 25,332 at Dodger Stadium.	The Dodgers won their sixth consecutive game and seventh in their last nine as they beat Colorado 3-2 on Wednesday in front of a crowd of 25,332 at Dodger Stadium.	4.4
So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said.	So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.	3.75
The 30-year bond US30YT=RR firmed 31/32, taking its yield to 4.16 percent -- another record low -- from 4.22 percent.	The 30-year bond <US30YT=RR> firmed 24/32, taking its yield to 4.18 percent, after hitting another record low of 4.16 percent.	2.75
Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.	Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.	3.8
Strayhorn said it was the first time in Texas history a comptroller had not certified the appropriations act.	In a news release Thursday, Strayhorn said this was the first time a comptroller rejected a budget.	3.2
Excluding the charges, analysts, on average, expected a loss of 11 cents a share.	Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.	3.8
Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.	A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.	4.8
Mr Sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on Saturday.	He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.	4
Only New Jersey now bans holders of learners permits or intermediate licenses from using cell phones, pagers or other wireless devices while driving.	In addition, the NTSB also recommended to NHTSA that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving.	1.4
The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.	The University of Michigan plans to release a new undergraduate admissions policy Thursday after its acceptance requirements were rejected by the U.S. Supreme Court in June.	4.2
The audiotape aired last week by the Arab Al-Jazeera television network appears to be an effort to incite attacks.	An audiotape aired last week by the Arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war.	1.8
The company didn't detail the costs of the replacement and repairs.	But company officials expect the costs of the replacement work to run into the millions of dollars.	2
"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge."	"Today, Dean ends his four-day, 10-city ""Sleepless Summer"" tour in Chicago and New York."	2.6
"I felt that if I disagreed with Rosie too much I would lose my job,"" she said.	Cavender did say: ""I felt that if I disagreed with Rosie too much I would lose my job."	3.25	
"The American decision provoked an angry reaction from the European Commission, which described the move as ""legally unwarranted, economically unfounded and politically unhelpful""."	"The European Commission, the EU's powerful executive body, described the move as ""legally unwarranted, economically unfounded and politically unhelpful."""	3.75
Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.	The director of the Office of Medical Access, Cindy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors' offices.	4.25
During 2001 and 2002, Morgenthau said, wire transfers from just four of Beacon Hill's 40 accounts totaled more than $3.2 billion.	Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.	4.75
Last year, he made an unsuccessful bid for the Democratic nomination for governor.	He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.	3.25
The nation's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by Jan. 25, 2005.	Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.	3.75
He was taken to a hospital for precautionary X-rays on his neck.	Harvey was taken to St. Luke's Hospital for precautionary neck X-rays, which came back negative.	3.25
The bill says that a woman who undergoes such an abortion couldn't be prosecuted.	A woman who underwent such an abortion could not be prosecuted under the bill.	5
There are 103 Democrats in the Assembly and 47 Republicans.	Democrats dominate the Assembly while Republicans control the Senate.	2
Richard Miller remained hospitalized after undergoing a liver transplant, but his wife has recovered.	Richard Miller, 57, survived a lifesaving liver transplant but remains hospitalized.	3.2
Sequent representatives could not immediately be reached for comment on the SCO announcement.	A spokesman for SCO could not be reached for comment this afternoon.	3.8
The proportion of people covered by employers dropped from 62.3 percent in 2001 to 61.3 percent last year.	The proportion of Americans with insurance from employers declined to 61.3 percent, from 62.6 percent in 2001 and 63.6 percent in 2000.	3.2
WORLD No. 2 Lleyton Hewitt has accused the Association of Tennis Professionals of malice, including an alleged attempt last year to dupe him into refusing a drug test.	World No.2 Lleyton Hewitt has accused his professional peers of long-standing malice, including an attempt last year to dupe him into refusing a drug test.	4
MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http://messenger.msn.com/download/v6preview.asp.	The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday, according to Microsoft.	3.25
Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.	Allegiant's stock closed Wednesday at $23.40, up 64 cents, in trading on the Nasdaq market.	2
By state law, 911 calls are not public information and were not released.	By law, 911 calls are not public information in Rhode Island.	3.4
The ADRs fell 10 cents to $28.95 at 10:06 a.m. in New York Stock Exchange composite trading today.	Shares of Fox Entertainment Group Inc., News Corp.'s U.S. media and entertainment arm, fell 45 cents to $26.85 in New York Stock Exchange composite trading.	1.4
Bremer said one initiative is to launch a $70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.	Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.	3.4
The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.	The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.	2.4
The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed.	The British Foreign Office said it had mediated the two men's release.	2.6
Wal-Mart estimates more than 100 million Americans visit their stores every week.	Each week 138 million shoppers visit Wal-Mart's 4,750 stores.	2.8
On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.	He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah.	3.75
Amnesty International has said that over the past 20 years it has collected information about 17,000 disappearances in Iraq but the actual figure may be much higher.	Amnesty International said that over the past 20 years it had collected information about 17,000 disappearances in Iraq.	4
Texas Instruments climbed $1.37 to $19.25 yesterday and Novellus Systems Inc. advanced $1.76 to $36.31.	"Texas Instruments climbed $US1.37 to $US19.25 and Novellus Systems advanced $US1.76 to $US36.31, each having been raised to ""overweight"" by Lehman."	3.75
She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.	She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.	3.455
In a mixture of ancient pagan and modern Christian rites, the villagers have staged a series of ceremonies hoping to erase the misfortunes they believe have kept them poor.	In a mixture of ancient Melanesian pagan and modern Christian ceremonies the people tried again to erase the misfortunes they believe have kept them poor since that long-ago meal.	4
The Dow Jones industrial average .DJI edged up 13.33 points, or 0.15 percent, to 9,196.55.	The Dow Jones industrial average <.DJI> was off 7.75 points, or 0.08 percent, at 9,175.47.	2.5
Monkeypox is usually found only in central and western Africa.	Prairie dogs, usually found in southwestern and western states, aren’t indigenous to Wisconsin.	0.25
The technology-laced Nasdaq Composite Index .IXIC rose 17.26 points, or 1.06 percent, to 1,640.06, based on the latest data.	The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points, or 0.56 percent, to 981.73.	1
Founders of the group are Matsushita Electric, Sony, Hitachi, NEC, Royal Philips Electronics, Samsung, Sharp and Toshiba.	CELF's founding members are Hitachi, Matsushita, NEC, Philips, Samsung, Sharp, Sony, and Toshiba.	3.4
Fletcher said he expects to have the support of lawmakers from agricultural states, many of whom are on the committee.	He said he also expects to have the support of lawmakers from other agricultural states.	3.4
